ArXiV id,Result,Where
1703.04142,Not found,
1706.06376,Not found,
1702.07484,Not found,
1706.10118,Not found,
1707.03341,Not found,
1712.03854,Found,"Repo: github - ('SpoonLabs', 'astor')"
1710.05561,Not found,
1702.07193,Not found,
1704.01090,Not found,
1707.01921,Not found,
1701.03319,Not found,
1708.04915,Not found,
1701.08106,Not found,
1705.08418,Not found,
1703.01897,Not found,
1701.05650,Not found,
1708.03786,Not found,
1703.06570,Not found,
1702.05592,Not found,
1704.03610,Not found,
1711.05997,Not found,
1712.04155,Not found,
1703.05375,Not found,
1703.02873,Not found,
1704.04173,Not found,
1703.00206,Not found,
1711.05472,Not found,
1701.00960,Not found,
1702.08013,Not found,
1705.03095,Not found,
1704.07734,Not found,
1702.02999,Not found,
1712.01487,Not found,
1712.01177,Not found,
1703.05186,Not found,
1703.06350,Not found,
1705.05018,Not found,
1710.03439,Not found,
1709.04809,Not found,
1708.07229,Not found,
1706.01118,Not found,
1701.08468,Not found,
1710.03720,Not found,
1710.06774,Not found,
1701.05472,Not found,
1712.05236,Not found,
1712.08032,Not found,
1701.01535,Not found,
1702.05510,Not found,
1706.09120,Not found,
1701.00636,Not found,
1707.00452,Not found,
1709.04986,Not found,
1711.01097,Not found,
1703.06712,Not found,
1705.06586,Not found,
1705.04016,Not found,
1706.04404,Not found,
1708.01680,Not found,
1708.04589,Not found,
1705.05450,Not found,
1709.04883,Not found,
1705.05476,Not found,
1711.09573,Not found,
1703.06568,Not found,
1705.10692,Not found,
1711.06908,Not found,
1705.05420,Not found,
1710.11054,Not found,
1706.02526,Not found,
1707.03555,Not found,
1709.05690,Not found,
1709.06182,Not found,
1711.06518,Not found,
1704.08412,Not found,
1712.00061,Not found,
1707.08341,Not found,
1705.06640,Not found,
1709.05635,Not found,
1701.02952,Not found,
1704.03394,Not found,
1710.08562,Not found,
1711.05340,Not found,
1705.02288,Not found,
1706.01755,Not found,
1709.00833,Not found,
1703.03017,Not found,
1710.00446,Not found,
1707.05172,Not found,
1705.05242,Not found,
1710.02823,Not found,
1712.06843,Not found,
1711.09362,Not found,
1702.07431,Not found,
1702.02514,Not found,
1710.02801,Not found,
1709.05763,Found,"Repo: github - ('sefield', 'BugReportClassificationWithNgramIDFDataset')"
1710.05570,Not found,
1702.07424,Found,Repo: zenodo-doi - https://doi.org/10.5281/zenodo.321921
1703.02925,Not found,
1704.00988,Not found,
1708.07228,Not found,
1711.04596,Not found,
1708.08660,Not found,
1703.10674,Not found,
1706.05037,Not found,
1703.08902,Not found,
1708.07379,Not found,
1708.08559,Not found,
1705.05315,Not found,
1706.00206,Not found,
1711.03933,Not found,
1702.07146,Not found,
1711.08123,Not found,
1706.04468,Not found,
1704.05911,Not found,
1707.02264,Not found,
1709.09474,Not found,
1701.00630,Not found,
1712.01674,Not found,
1703.01078,Not found,
1709.02822,Not found,
1708.03240,Not found,
1702.06973,Not found,
1706.09305,Not found,
1707.08824,Not found,
1702.08726,Found,"Repo: github - ('jazzbob', 'stb')"
1708.06665,Not found,
1704.02432,Not found,
1706.04023,Not found,
1707.09038,Not found,
1707.08265,Not found,
1709.05341,Not found,
1704.04905,Not found,
1703.07036,Not found,
1708.08127,Not found,
1701.00632,Not found,
1706.07350,Not found,
1709.10324,Not found,
1707.03750,Not found,
1707.03070,Not found,
1701.05940,Not found,
1711.10964,Not found,
1704.01759,Not found,
1705.02607,Not found,
1707.05383,Not found,
1705.06511,Not found,
1705.07848,Not found,
1712.01024,Not found,
1710.09055,Not found,
1708.08476,Not found,
1708.01796,Not found,
1707.03139,Not found,
1705.01040,Not found,
1711.00549,Not found,
1704.01320,Not found,
1709.02280,Found,"Repo: github - ('pooyanjamshidi', 'ase17')"
1701.05566,Not found,
1706.03796,Not found,
1705.01198,Not found,
1701.05648,Not found,
1709.01304,Not found,
1704.02307,Not found,
1709.01609,Not found,
1708.05233,Not found,
1707.00015,Not found,
1705.00561,Not found,
1710.07980,Not found,
1701.06815,Not found,
1702.08004,Not found,
1703.07350,Not found,
1703.07033,Not found,
1705.03517,Not found,
1709.07790,Not found,
1707.00945,Not found,
1703.00978,Not found,
1704.02319,Not found,
1701.08625,Not found,
1704.09004,Not found,
1704.00994,Not found,
1704.07097,Not found,
1705.06629,Not found,
1709.02435,Not found,
1709.10379,Not found,
1711.05019,Not found,
1712.08341,Not found,
1707.02358,Not found,
1703.01370,Not found,
1703.06293,Not found,
1710.03352,Not found,
1708.06596,Not found,
1711.00959,Not found,
1703.05317,Not found,
1708.06046,Not found,
1708.07225,Not found,
1712.01718,Not found,
1703.00133,Found,"Repo: github - ('WeiFoo', 'EasyOverHard')"
1702.07149,Not found,
1702.07029,Not found,
1712.07944,Not found,
1703.06300,Not found,
1708.03178,Not found,
1707.01466,Not found,
1701.06767,Not found,
1711.09713,Not found,
1709.07536,Not found,
1707.04127,Not found,
1705.01978,Not found,
1709.10192,Not found,
1706.07196,Not found,
1706.08129,Not found,
1703.06576,Not found,
1708.04498,Not found,
1711.11377,Not found,
1706.09357,Not found,
1701.04481,Not found,
1701.02344,Not found,
1707.09281,Not found,
1705.03303,Not found,
1707.07473,Not found,
1703.06353,Not found,
1709.04631,Not found,
1712.01967,Not found,
1707.00794,Not found,
1705.04669,Not found,
1702.06806,Not found,
1702.07656,Not found,
1711.11564,Not found,
1702.01270,Not found,
1707.09716,Not found,
1706.06799,Not found,
1709.06224,Not found,
1712.09496,Not found,
1707.04330,Not found,
1706.09700,Not found,
1708.02368,Not found,
1703.06218,Not found,
1705.03697,Not found,
1701.04045,Not found,
1709.05281,Not found,
1707.00432,Not found,
1701.03249,Not found,
1703.00132,Found,"Repo: github - ('WeiFoo', 'RevisitUnsupervised')"
1712.07406,Not found,
1711.04705,Not found,
1711.06322,Not found,
1705.05209,Not found,
1701.08465,Not found,
1710.03675,Not found,
1706.09172,Not found,
1702.05744,Not found,
1706.07205,Not found,
1704.03672,Not found,
1703.07034,Not found,
